"drwNo","drwtNo1","drwtNo2","drwtNo3","drwtNo4","drwtNo5","drwtNo6","bnusNo"
"565","4","10","18","27","40","45","38"
"566","4","5","6","25","26","43","41"
"567","1","10","15","16","32","41","28"
"568","1","3","17","20","31","44","40"
"569","3","6","13","23","24","35","1"
"570","1","12","26","27","29","33","42"
"571","11","18","21","26","38","43","29"
"572","3","13","18","33","37","45","1"
"573","2","4","20","34","35","43","14"
"574","14","15","16","19","25","43","2"
"575","2","8","20","30","33","34","6"
"576","10","11","15","25","35","41","13"
"577","16","17","22","31","34","37","33"
"578","5","12","14","32","34","42","16"
"579","5","7","20","22","37","42","39"
"580","5","7","9","11","32","35","33"
"581","3","5","14","20","42","44","33"
"582","2","12","14","33","40","41","25"
"583","8","17","27","33","40","44","24"
"584","7","18","30","39","40","41","36"
"585","6","7","10","16","38","41","4"
"586","2","7","12","15","21","34","5"
"587","14","21","29","31","32","37","17"
"588","2","8","15","22","25","41","30"
"589","6","8","28","33","38","39","22"
"590","20","30","36","38","41","45","23"
"591","8","13","14","30","38","39","5"
"592","2","5","6","13","28","44","43"
"593","9","10","13","24","33","38","28"
"594","2","8","13","25","28","37","3"
"595","8","24","28","35","38","40","5"
"596","3","4","12","14","25","43","17"
"597","8","10","23","24","35","43","37"
"598","4","12","24","33","38","45","22"
"599","5","12","17","29","34","35","27"
"600","5","11","14","27","29","36","44"
"601","2","16","19","31","34","35","37"
"602","13","14","22","27","30","38","2"
"603","2","19","25","26","27","43","28"
"604","2","6","18","21","33","34","30"
"605","1","2","7","9","10","38","42"
"606","1","5","6","14","20","39","22"
"607","8","14","23","36","38","39","13"
"608","4","8","18","19","39","44","41"
"609","4","8","27","34","39","40","13"
"610","14","18","20","23","28","36","33"
"611","2","22","27","33","36","37","14"
"612","6","9","18","19","25","33","40"
"613","7","8","11","16","41","44","35"
"614","8","21","25","39","40","44","18"
"615","10","17","18","19","23","27","35"
"616","5","13","18","23","40","45","3"
"617","4","5","11","12","24","27","28"
"618","8","16","25","30","42","43","15"
"619","6","8","13","30","35","40","21"
"620","2","16","17","32","39","45","40"
"621","1","2","6","16","19","42","9"
"622","9","15","16","21","28","34","24"
"623","7","13","30","39","41","45","25"
"624","1","7","19","26","27","35","16"
"625","3","6","7","20","21","39","13"
"626","13","14","26","33","40","43","15"
"627","2","9","22","25","31","45","12"
"628","1","7","12","15","23","42","11"
"629","19","28","31","38","43","44","1"
"630","8","17","21","24","27","31","15"
"631","1","2","4","23","31","34","8"
"632","15","18","21","32","35","44","6"
"633","9","12","19","20","39","41","13"
"634","4","10","11","12","20","27","38"
"635","11","13","25","26","29","33","32"
"636","6","7","15","16","20","31","26"
"637","3","16","22","37","38","44","23"
"638","7","18","22","24","31","34","6"
"639","6","15","22","23","25","32","40"
"640","14","15","18","21","26","35","23"
"641","11","18","21","36","37","43","12"
"642","8","17","18","24","39","45","32"
"643","15","24","31","32","33","40","13"
"644","5","13","17","23","28","36","8"
"645","1","4","16","26","40","41","31"
"646","2","9","24","41","43","45","30"
"647","5","16","21","23","24","30","29"
"648","13","19","28","37","38","43","4"
"649","3","21","22","33","41","42","20"
"650","3","4","7","11","31","41","35"
"651","11","12","16","26","29","44","18"
"652","3","13","15","40","41","44","20"
"653","5","6","26","27","38","39","1"
"654","16","21","26","31","36","43","6"
"655","7","37","38","39","40","44","18"
"656","3","7","14","16","31","40","39"
"657","10","14","19","39","40","43","23"
"658","8","19","25","28","32","36","37"
"659","7","18","19","27","29","42","45"
"660","4","9","23","33","39","44","14"
"661","2","3","12","20","27","38","40"
"662","5","6","9","11","15","37","26"
"663","3","5","8","19","38","42","20"
"664","10","20","33","36","41","44","5"
"665","5","6","11","17","38","44","13"
"666","2","4","6","11","17","28","16"
"667","15","17","25","37","42","43","13"
"668","12","14","15","24","27","32","3"
"669","7","8","20","29","33","38","9"
"670","11","18","26","27","40","41","25"
"671","7","9","10","13","31","35","24"
"672","8","21","28","31","36","45","43"
"673","7","10","17","29","33","44","5"
"674","9","10","14","25","27","31","11"
"675","1","8","11","15","18","45","7"
"676","1","8","17","34","39","45","27"
"677","12","15","24","36","41","44","42"
"678","4","5","6","12","25","37","45"
"679","3","5","7","14","26","34","35"
"680","4","10","19","29","32","42","30"
"681","21","24","27","29","43","44","7"
"682","17","23","27","35","38","43","2"
"683","6","13","20","27","28","40","15"
"684","1","11","15","17","25","39","40"
"685","6","7","12","28","38","40","18"
"686","7","12","15","24","25","43","13"
"687","1","8","10","13","28","42","45"
"688","5","15","22","23","34","35","2"
"689","7","17","19","30","36","38","34"
"690","24","25","33","34","38","39","43"
"691","15","27","33","35","43","45","16"
"692","3","11","14","15","32","36","44"
"693","1","6","11","28","34","42","30"
"694","7","15","20","25","33","43","12"
"695","4","18","26","33","34","38","14"
"696","1","7","16","18","34","38","21"
"697","2","5","8","11","33","39","31"
"698","3","11","13","21","33","37","18"
"699","4","5","8","16","21","29","3"
"700","11","23","28","29","30","44","13"
"701","3","10","14","16","36","38","35"
"702","3","13","16","24","26","29","9"
"703","10","28","31","33","41","44","21"
"704","1","4","8","23","33","42","45"
"705","1","6","17","22","28","45","23"
"706","3","4","6","10","28","30","37"
"707","2","12","19","24","39","44","35"
"708","2","10","16","19","34","45","1"
"709","10","18","30","36","39","44","32"
"710","3","4","9","24","25","33","10"
"711","11","15","24","35","37","45","42"
"712","17","20","30","31","33","45","19"
"713","2","5","15","18","19","23","44"
"714","1","7","22","33","37","40","20"
"715","2","7","27","33","41","44","10"
"716","2","6","13","16","29","30","21"
"717","2","11","19","25","28","32","44"
"718","4","11","20","23","32","39","40"
"719","4","8","13","19","20","43","26"
"720","1","12","29","34","36","37","41"
"721","1","28","35","41","43","44","31"
"722","12","14","21","30","39","43","45"
"723","20","30","33","35","36","44","22"
"724","2","8","33","35","37","41","14"
"725","6","7","19","21","41","43","38"
"726","1","11","21","23","34","44","24"
"727","7","8","10","19","21","31","20"
"728","3","6","10","30","34","37","36"
"729","11","17","21","26","36","45","16"
"730","4","10","14","15","18","22","39"
"731","2","7","13","25","42","45","39"
"732","2","4","5","17","27","32","43"
"733","11","24","32","33","35","40","13"
"734","6","16","37","38","41","45","18"
"735","5","10","13","27","37","41","4"
"736","2","11","17","18","21","27","6"
"737","13","15","18","24","27","41","11"
"738","23","27","28","38","42","43","36"
"739","7","22","29","33","34","35","30"
"740","4","8","9","16","17","19","31"
"741","5","21","27","34","44","45","16"
"742","8","10","13","36","37","40","6"
"743","15","19","21","34","41","44","10"
"744","10","15","18","21","34","41","43"
"745","1","2","3","9","12","23","10"
"746","3","12","33","36","42","45","25"
"747","7","9","12","14","23","28","17"
"748","3","10","13","22","31","32","29"
"749","12","14","24","26","34","45","41"
"750","1","2","15","19","24","36","12"
"751","3","4","16","20","28","44","17"
"752","4","16","20","33","40","43","7"
"753","2","17","19","24","37","41","3"
"754","2","8","17","24","29","31","32"
"755","13","14","26","28","30","36","37"
"756","10","14","16","18","27","28","4"
"757","6","7","11","17","33","44","1"
"758","5","9","12","30","39","43","24"
"759","9","33","36","40","42","43","32"
"760","10","22","27","31","42","43","12"
"761","4","7","11","24","42","45","30"
"762","1","3","12","21","26","41","16"
"763","3","8","16","32","34","43","10"
"764","7","22","24","31","34","36","15"
"765","1","3","8","12","42","43","33"
"766","9","30","34","35","39","41","21"
"767","5","15","20","31","34","42","22"
"768","7","27","29","30","38","44","4"
"769","5","7","11","16","41","45","4"
"770","1","9","12","23","39","43","34"
"771","6","10","17","18","21","29","30"
"772","5","6","11","14","21","41","32"
"773","8","12","19","21","31","35","44"
"774","12","15","18","28","34","42","9"
"775","11","12","29","33","38","42","17"
"776","8","9","18","21","28","40","20"
"777","6","12","17","21","34","37","18"
"778","6","21","35","36","37","41","11"
"779","6","12","19","24","34","41","4"
"780","15","17","19","21","27","45","16"
"781","11","16","18","19","24","39","43"
"782","6","18","31","34","38","45","20"
"783","14","15","16","17","38","45","36"
"784","3","10","23","24","31","39","22"
"785","4","6","15","25","26","33","40"
"786","12","15","16","20","24","30","38"
"787","5","6","13","16","27","28","9"
"788","2","10","11","19","35","39","29"
"789","2","6","7","12","19","45","38"
"790","3","8","19","27","30","41","12"
"791","2","10","12","31","33","42","32"
"792","2","7","19","25","29","36","16"
"793","10","15","21","35","38","43","31"
"794","6","7","18","19","30","38","13"
"795","3","10","13","26","34","38","36"
"796","1","21","26","36","40","41","5"
"797","5","22","31","32","39","45","36"
"798","2","10","14","22","32","36","41"
"799","12","17","23","34","42","45","33"
"800","1","4","10","12","28","45","26"
"801","17","25","28","37","43","44","2"
"802","10","11","12","18","24","42","27"
"803","5","9","14","26","30","43","2"
"804","1","10","13","26","32","36","9"
"805","3","12","13","18","31","32","42"
"806","14","20","23","31","37","38","27"
"807","6","10","18","25","34","35","33"
"808","15","21","31","32","41","43","24"
"809","6","11","15","17","23","40","39"
"810","5","10","13","21","39","43","11"
"811","8","11","19","21","36","45","25"
"812","1","3","12","14","16","43","10"
"813","11","30","34","35","42","44","27"
"814","2","21","28","38","42","45","30"
"815","17","21","25","26","27","36","4"
"816","12","18","19","29","31","39","7"
"817","3","9","12","13","25","43","34"
"818","14","15","25","28","29","30","3"
"819","16","25","33","38","40","45","15"
"820","10","21","22","30","35","42","6"
"821","1","12","13","24","29","44","16"
"822","9","18","20","24","27","36","12"
"823","12","18","24","26","39","40","15"
"824","7","9","24","29","34","38","26"
"825","8","15","21","31","33","38","42"
"826","13","16","24","25","33","36","42"
"827","5","11","12","29","33","44","14"
"828","4","7","13","29","31","39","18"
"829","4","5","31","35","43","45","29"
"830","5","6","16","18","37","38","17"
"831","3","10","16","19","31","39","9"
"832","13","14","19","26","40","43","30"
"833","12","18","30","39","41","42","19"
"834","6","8","18","35","42","43","3"
"835","9","10","13","28","38","45","35"
"836","1","9","11","14","26","28","19"
"837","2","25","28","30","33","45","6"
"838","9","14","17","33","36","38","20"
"839","3","9","11","12","13","19","35"
"840","2","4","11","28","29","43","27"
"841","5","11","14","30","33","38","24"
"842","14","26","32","36","39","42","38"
"843","19","21","30","33","34","42","4"
"844","7","8","13","15","33","45","18"
"845","1","16","29","33","40","45","6"
"846","5","18","30","41","43","45","13"
"847","12","16","26","28","30","42","22"
"848","1","2","16","22","38","39","34"
"849","5","13","17","29","34","39","3"
"850","16","20","24","28","36","39","5"
"851","14","18","22","26","31","44","40"
"852","11","17","28","30","33","35","9"
"853","2","8","23","26","27","44","13"
"854","20","25","31","32","36","43","3"
"855","8","15","17","19","43","44","7"
"856","10","24","40","41","43","44","17"
"857","6","10","16","28","34","38","43"
"858","9","13","32","38","39","43","23"
"859","8","22","35","38","39","41","24"
"860","4","8","18","25","27","32","42"
"861","11","17","19","21","22","25","24"
"862","10","34","38","40","42","43","32"
"863","16","21","28","35","39","43","12"
"864","3","7","10","13","25","36","32"
"865","3","15","22","32","33","45","2"
"866","9","15","29","34","37","39","12"
"867","14","17","19","22","24","40","41"
"868","12","17","28","41","43","44","25"
"869","2","6","20","27","37","39","4"
"870","21","25","30","32","40","42","31"
"871","2","6","12","26","30","34","38"
"872","2","4","30","32","33","43","29"
"873","3","5","12","13","33","39","38"
"874","1","15","19","23","28","42","32"
"875","19","22","30","34","39","44","36"
"876","5","16","21","26","34","42","24"
"877","5","17","18","22","23","43","12"
"878","2","6","11","16","25","31","3"
"879","1","4","10","14","15","35","20"
"880","7","17","19","23","24","45","38"
"881","4","18","20","26","27","32","9"
"882","18","34","39","43","44","45","23"
"883","9","18","32","33","37","44","22"
"884","4","14","23","28","37","45","17"
"885","1","3","24","27","39","45","31"
"886","19","23","28","37","42","45","2"
"887","8","14","17","27","36","45","10"
"888","3","7","12","31","34","38","32"
"889","3","13","29","38","39","42","26"
"890","1","4","14","18","29","37","6"
"891","9","13","28","31","39","41","19"
"892","4","9","17","18","26","42","36"
"893","1","15","17","23","25","41","10"
"894","19","32","37","40","41","43","45"
"895","16","26","31","38","39","41","23"
"896","5","12","25","26","38","45","23"
"897","6","7","12","22","26","36","29"
"898","18","21","28","35","37","42","17"
"899","8","19","20","21","33","39","37"
"900","7","13","16","18","35","38","14"
"901","5","18","20","23","30","34","21"
"902","7","19","23","24","36","39","30"
"903","2","15","16","21","22","28","45"
"904","2","6","8","26","43","45","11"
"905","3","4","16","27","38","40","20"
"906","2","5","14","28","31","32","20"
"907","21","27","29","38","40","44","37"
"908","3","16","21","22","23","44","30"
"909","7","24","29","30","34","35","33"
"910","1","11","17","27","35","39","31"
"911","4","5","12","14","32","42","35"
"912","5","8","18","21","22","38","10"
"913","6","14","16","21","27","37","40"
"914","16","19","24","33","42","44","27"
"915","2","6","11","13","22","37","14"
"916","6","21","22","32","35","36","17"
"917","1","3","23","24","27","43","34"
"918","7","11","12","31","33","38","5"
"919","9","14","17","18","42","44","35"
"920","2","3","26","33","34","43","29"
"921","5","7","12","22","28","41","1"
"922","2","6","13","17","27","43","36"
"923","3","17","18","23","36","41","26"
"924","3","11","34","42","43","44","13"
"925","13","24","32","34","39","42","4"
"926","10","16","18","20","25","31","6"
"927","4","15","22","38","41","43","26"
"928","3","4","10","20","28","44","30"
"929","7","9","12","15","19","23","4"
"930","8","21","25","38","39","44","28"
"931","14","15","23","25","35","43","32"
"932","1","6","15","36","37","38","5"
"933","23","27","29","31","36","45","37"
"934","1","3","30","33","36","39","12"
"935","4","10","20","32","38","44","18"
"936","7","11","13","17","18","29","43"
"937","2","10","13","22","29","40","26"
"938","4","8","10","16","31","36","9"
"939","4","11","28","39","42","45","6"
"940","3","15","20","22","24","41","11"
"941","12","14","25","27","39","40","35"
"942","10","12","18","35","42","43","39"
"943","1","8","13","36","44","45","39"
"944","2","13","16","19","32","33","42"
"945","9","10","15","30","33","37","26"
"946","9","18","19","30","34","40","20"
"947","3","8","17","20","27","35","26"
"948","13","18","30","31","38","41","5"
"949","14","21","35","36","40","44","30"
"950","3","4","15","22","28","40","10"
"951","2","12","30","31","39","43","38"
"952","4","12","22","24","33","41","38"
"953","7","9","22","27","37","42","34"
"954","1","9","26","28","30","41","32"
"955","4","9","23","26","29","33","8"
"956","10","11","20","21","25","41","40"
"957","4","15","24","35","36","40","1"
"958","2","9","10","16","35","37","1"
"959","1","14","15","24","40","41","35"
"960","2","18","24","30","32","45","14"
"961","11","20","29","31","33","42","43"
"962","1","18","28","31","34","43","40"
"963","6","12","19","23","34","42","35"
"964","6","21","36","38","39","43","30"
"965","2","13","25","28","29","36","34"
"966","1","21","25","29","34","37","36"
"967","1","6","13","37","38","40","9"
"968","2","5","12","14","24","39","33"
"969","3","9","10","29","40","45","7"
"970","9","11","16","21","28","36","5"
"971","2","6","17","18","21","26","7"
"972","3","6","17","23","37","39","26"
"973","22","26","31","37","41","42","24"
"974","1","2","11","16","39","44","32"
"975","7","8","9","17","22","24","5"
"976","4","12","14","25","35","37","2"
"977","2","9","10","14","22","44","16"
"978","1","7","15","32","34","42","8"
"979","7","11","16","21","27","33","24"
"980","3","13","16","23","24","35","14"
"981","27","36","37","41","43","45","32"
"982","5","7","13","20","21","44","33"
"983","13","23","26","31","35","43","15"
"984","3","10","23","35","36","37","18"
"985","17","21","23","30","34","44","19"
"986","7","10","16","28","41","42","40"
"987","2","4","15","23","29","38","7"
"988","2","13","20","30","31","41","27"
"989","17","18","21","27","29","33","26"
"990","2","4","25","26","36","37","28"
"991","13","18","25","31","33","44","38"
"992","12","20","26","33","44","45","24"
"993","6","14","16","18","24","42","44"
"994","1","3","8","24","27","35","28"
"995","1","4","13","29","38","39","7"
"996","6","11","15","24","32","39","28"
"997","4","7","14","16","24","44","20"
"998","13","17","18","20","42","45","41"
"999","1","3","9","14","18","28","34"
"1000","2","8","19","22","32","42","39"
"1001","6","10","12","14","20","42","15"
"1002","17","25","33","35","38","45","15"
"1003","1","4","29","39","43","45","31"
"1004","7","15","30","37","39","44","18"
"1005","8","13","18","24","27","29","17"
"1006","8","11","15","16","17","37","36"
"1007","8","11","16","19","21","25","40"
"1008","9","11","30","31","41","44","33"
"1009","15","23","29","34","40","44","20"
"1010","9","12","15","25","34","36","3"
"1011","1","9","12","26","35","38","42"
"1012","5","11","18","20","35","45","3"
"1013","21","22","26","34","36","41","32"
"1014","3","11","14","18","26","27","21"
"1015","14","23","31","33","37","40","44"
"1016","15","26","28","34","41","42","44"
"1017","12","18","22","23","30","34","32"
"1018","3","19","21","25","37","45","35"
"1019","1","4","13","17","34","39","6"
"1020","12","27","29","38","41","45","6"
"1021","12","15","17","24","29","45","16"
"1022","5","6","11","29","42","45","28"
"1023","10","14","16","18","29","35","25"
"1024","9","18","20","22","38","44","10"
"1025","8","9","20","25","29","33","7"
"1026","5","12","13","31","32","41","34"
"1027","14","16","27","35","39","45","5"
"1028","5","7","12","13","18","35","23"
"1029","12","30","32","37","39","41","24"
"1030","2","5","11","17","24","29","9"
"1031","6","7","22","32","35","36","19"
"1032","1","6","12","19","36","42","28"
"1033","3","11","15","20","35","44","10"
"1034","26","31","32","33","38","40","11"
"1035","9","14","34","35","41","42","2"
"1036","2","5","22","32","34","45","39"
"1037","2","14","15","22","27","33","31"
"1038","7","16","24","27","37","44","2"
"1039","2","3","6","19","36","39","26"
"1040","8","16","26","29","31","36","11"
"1041","6","7","9","11","17","18","45"
"1042","5","14","15","23","34","43","4"
"1043","3","5","12","22","26","31","19"
"1044","12","17","20","26","28","36","4"
"1045","6","14","15","19","21","41","37"
"1046","7","16","25","29","35","36","28"
"1047","2","20","33","40","42","44","32"
"1048","6","12","17","21","32","39","30"
"1049","3","5","13","20","21","37","17"
"1050","6","12","31","35","38","43","17"
"1051","21","26","30","32","33","35","44"
"1052","5","17","26","27","35","38","1"
"1053","22","26","29","30","34","45","15"
"1054","14","19","27","28","30","45","33"
"1055","4","7","12","14","22","33","31"
"1056","13","20","24","32","36","45","29"
"1057","8","13","19","27","40","45","12"
"1058","11","23","25","30","32","40","42"
"1059","7","10","22","25","34","40","27"
"1060","3","10","24","33","38","45","36"
"1061","4","24","27","35","37","45","15"
"1062","20","31","32","40","41","45","12"
"1063","3","6","22","23","24","38","30"
"1064","3","6","9","18","22","35","14"
"1065","3","18","19","23","32","45","24"
"1066","6","11","16","19","21","32","45"
"1067","7","10","19","23","28","33","18"
"1068","4","7","19","26","33","35","3"
"1069","1","10","18","22","28","31","44"
"1070","3","6","14","22","30","41","36"
"1071","1","2","11","21","30","35","39"
"1072","16","18","20","23","32","43","27"
"1073","6","18","28","30","32","38","15"
"1074","1","6","20","27","28","41","15"
"1075","1","23","24","35","44","45","10"
"1076","3","7","9","33","36","37","10"
"1077","4","8","17","30","40","43","34"
"1078","6","10","11","14","36","38","43"
"1079","4","8","18","24","37","45","6"
"1080","13","16","23","31","36","44","38"
"1081","1","9","16","23","24","38","17"
"1082","21","26","27","32","34","42","31"
"1083","3","7","14","15","22","38","17"
"1084","8","12","13","29","33","42","5"
"1085","4","7","17","18","38","44","36"
"1086","11","16","25","27","35","36","37"
"1087","13","14","18","21","34","44","16"
"1088","11","21","22","30","39","44","31"
"1089","4","18","31","37","42","43","40"
"1090","12","19","21","29","40","45","1"
"1091","6","20","23","24","28","30","44"
"1092","7","18","19","26","33","45","37"
"1093","10","17","22","30","35","43","44"
"1094","6","7","15","22","26","40","41"
"1095","8","14","28","29","34","40","12"
"1096","1","12","16","19","23","43","34"
"1097","14","33","34","35","37","40","4"
"1098","12","16","21","24","41","43","15"
"1099","3","20","28","38","40","43","4"
"1100","17","26","29","30","31","43","12"
"1101","6","7","13","28","36","42","41"
"1102","13","14","22","26","37","38","20"
"1103","10","12","29","31","40","44","2"
"1104","1","7","21","30","35","38","2"
"1105","6","16","34","37","39","40","11"
"1106","1","3","4","29","42","45","36"
"1107","6","14","30","31","40","41","29"
"1108","7","19","26","37","39","44","27"
"1109","10","12","13","19","33","40","2"
"1110","3","7","11","20","22","41","24"
"1111","3","13","30","33","43","45","4"
"1112","16","20","26","36","42","44","24"
"1113","11","13","20","21","32","44","8"
"1114","10","16","19","32","33","38","3"
"1115","7","12","23","32","34","36","8"
"1116","15","16","17","25","30","31","32"
"1117","3","4","9","30","33","36","7"
"1118","11","13","14","15","16","45","3"
"1119","1","9","12","13","20","45","3"
"1120","2","19","26","31","38","41","34"
"1121","6","24","31","32","38","44","8"
"1122","3","6","21","30","34","35","22"
"1123","13","19","21","24","34","35","26"
"1124","3","8","17","30","33","34","28"
